Question,Answer
what purpose did seasonal monsoon winds have on trade?,enabled European empire expansion into the Americas and trade routes to become established across the Atlantic and Pacific oceans
what does hp mean in war and order?,hit points or health points
what happens to the rbc in acute hemolytic reaction?,rapid destruction of the donor red blood cells by host antibodies
what is the most current adobe flash player version?,28.0.0.137
what is the first step in the evolution of the eye?,photoreceptor proteins that sense light
what is the main mineral in lithium batteries?,lithium
what is the use of adobe flash cs3 professional?,supported modern programming practices and enabled business applications to be developed with Flash
what part of the brain is in the middle cranial fossa?,the temporal lobes
what's the dog's name on tom and jerry?,Spike
where was the music video what ifs filmed?,"along the Californian coast at The Inn at Newport Ranch, a resort and cattle ranch to the north of San Francisco"
what type of car is a jeep considered?,light utility vehicles
what is the name of manchester united stadium?,Old Trafford
what is the corporate tax rate in great britain?,a flat rate of 20%
what is the meaning of the name sinead?,God forgave/God gratified
what network is showing the monday night football game?,ESPN
what is the form of mozart symphony no 40?,G minor
what was the city of beijing previously known as?,Peking
what is the sentencing reform act of 1984?,U.S. federal statute intended to increase consistency in United States federal sentencing
what are the zords in the power rangers movie?,animal-themed Ninja Zords
what are three different types of hotel properties?,Hotel barge
what is the point of a menstrual cup?,to collect menstrual flow
what does the board of directors consist of?,a recognized group of people who jointly oversee the activities of an organization
what is the payout for the texas bowl?,US$3 million per team
what are the top five wine producing states?,California
what is final season of game of thrones?,the eighth season
what is the weight of a honda fit?,"1,020–1,080 kg"
what is the job of justice of the peace?,"a judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace."
uruguay is located along what body of water?,Bay of Montevideo
what is step 1 of the 12 step program?,We admitted we were powerless over alcohol—that our lives had become unmanageable.
what is the cross on a letter t called?,crossbar
what album is sacrifice by elton john on?,Sleeping with the Past
what is the final season of downton abbey?,six
what caused the breakup of the democratic republican party?,the disputed 1824 presidential election
what is earth's magnetic field responsible for?,"deflect most of the solar wind, whose charged particles would otherwise strip away the ozone layer that protects the Earth from harmful ultraviolet radiation"
who wrote song what a friend we have in jesus?,Joseph M. Scriven
what is bermuda competing in the winter olympics?,Cross-country skiing
what was the purpose of a revival meeting during the second great awakening?,evangelizing
what is the official symbol of the carnival of quebec?,Bonhomme Carnaval
what are the band members names of the rolling stones?,Mick Jagger
what was the first video game for nintendo?,EVR Race
what is the most common blood type in sweden?,AB+
what is the largest bill in american money?,$100
what are the parts of a domain name called?,top-level domain
what is the significance of the sahara desert?,the largest hot desert and the third largest desert in the world after Antarctica and the Arctic
what causes cracked skin at the corners of your mouth?,infection
what material was used to build the roofs of houses in burzahom?,birch
in what part of the digestive tube do you expect the initial digestion of starch?,the mouth
who sings stop listen what's that sound?,Buffalo Springfield
what is the short story the gift of the magi about?,a young husband and wife and how they deal with the challenge of buying secret Christmas gifts for each other with very little money
what is a real world application of an atwood machine?,An elevator with a counterbalance
what are the importance of rigor mortis in meat processing?,rigor mortis and its resolution partially determine the tenderness of meat
what is the tigers name in life of pi?,Richard Parker
what does the transfer case control module do?,transfers power from the transmission to the front and rear axles by means of drive shafts
what do the films mean in high castle?,The Grasshopper Lies Heavy is a series of newsreel films depicting multiple alternative realities
what is the current mac os operating system?,10.13.4
what is the share of agriculture in indian economy?,17.32%
what us president is the only president to become an eagle scout?,Ford
what position did doug peterson play in the nfl?,"a member of the Green Bay Packers, serving as a backup quarterback to Brett Favre and holder on placekicks"
what gun does the california highway patrol use?,Smith & Wesson M&P in .40 S&W
what is billy last name in where the red fern grows?,Colman
what kind of fish live in the salton sea?,tilapia
what is the first basic process in the light reaction of photosynthesis?,one molecule of the pigment chlorophyll absorbs one photon and loses one electron
what is the longest pier in the uk?,Southend Pier
what nfl team is robert griffin the third playing for?,currently a free agent
what is the 3rd largest state in usa?,Alaska
what happened to the fourth member of destinys child?,"Franklin quit after five months, leaving the group as a trio"
what is the name of the dragon in eragon?,Saphira
what is the meaning of the name von?,as a nobiliary particle indicating a noble patrilineality or as a simple preposition that approximately means of or from in the case of commoners
what is the largest magnitude earthquake that has occurred in the pacific northwest?,The 1700 Cascadia earthquake
who was the killer in the movie i know what you did last summer?,Ben Willis
what new deal program limited production in industry?,NIRA
what type of political system does el salvador have?,"""flawed democracy"""
what is the poorest county in the state of florida?,Union
explain what is meant by plain english and why is it used?,"a style of communication that uses easy to understand, plain language with an emphasis on clarity, brevity, and avoidance of overly complex vocabulary."
what is the role of hcl in the stomach?,"plays a key role in digestion of proteins, by activating digestive enzymes, and making ingested proteins unravel so that digestive enzymes break down the long chains of amino acids"
what is the song in red dead redemption?,Far Away
in a microsoft access table what does a row of information represent?,"a single, implicitly structured data item in a table"
whats the difference between tomato paste and tomato puree?,consistency
what type of plate boundary is associated with iceland and its volcanic eruptions?,the mid-Atlantic Ridge
what kind of guns are allowed in switzerland?,"semi-automatic, but not fully automatic, firearms"
what is the supreme court's major power?,ultimate (and largely discretionary) appellate jurisdiction over all federal courts and state court cases involving issues of federal law plus original jurisdiction over a small range of cases
what type of song is what a wonderful world?,pop ballad
who wrote antigone and what are the dates of his birth and death?,Sophocles
what is the name of the hyena in lion king?,Shenzi
what is the meaning of the name gomez?,man
what percentage of the world population is vegan?,approximately 21.8% of the world’s population
what nfl player has the most nfl rings?,Tom Brady
dendrites and cell bodies are components of what type of matter found in the brain?,Grey matter
what is the origin of the phrase going cold turkey?,"the piloerection or ""goose bumps"" that occurs with abrupt withdrawal from opioids, which resembles the skin of a plucked refrigerated turkey"
how long is the famous suspension bridge in san francisco and what is it called?,"8,981 ft (2,737.4 m),[2] about 1.7 mi (2.7 km)"
what is an example of a government monopoly in the united states?,State Bar of Arizona
what is nginx and what is it used for?,"a web server which can also be used as a reverse proxy, load balancer and HTTP cache"
what are the main functions of the stem?,"Support for and the elevation of leaves, flowers and fruits"
what year did seven nation army come out?,March 2003
what episode does marnie come back in geordie shore?,5
what is the meaning of the song fool on the hill?,"a solitary figure who is not understood by others, but is actually wise"
what genre is the magic tree house books?,Children's historical fantasy
what is the main issue behind starlink corn?,over 300 food products were found to contain a genetically modified corn that had not been approved for human consumption
what is the story of around the world in 80 days?,"Phileas Fogg of London and his newly employed French valet Passepartout attempt to circumnavigate the world in 80 days on a £20,000 wager (£2,075,400 in 2017)[3] set by his friends at the Reform Club"
what ethnic group celebrates its contribution to america in october?,Filipino American
what is a work function of a metal?,the minimum thermodynamic work (i.e. energy) needed to remove an electron from a solid to a point in the vacuum immediately outside the solid surface
what was the primary goal of the first green revolution?,"a valuable way to feed the poor, and would relieve some pressure of the land redistribution process"
what is the title of the person who runs the house of representatives?,Speaker of the House
what is the most popular religion in sweden?,Lutheran Church of Sweden
what was the divestment social movement in south africa?,organized lobbying of individual businesses and institutional investors to end their involvement with or investments in the apartheid state as a matter of corporate social responsibility
what does g stand for in ncis los angeles?,Grisha
what dna changes produce the delta f508 mutation?,deletion of three nucleotides spanning positions 507 and 508 of the CFTR gene on chromosome 7
what are the two extracellular fluid compartments in the body?,"interstitial fluid in the ""interstitial compartment"""
what emperor took over france after the reign of terror?,Napoleon Bonaparte
what was the result of the revolt of 1857?,British victory
what is the largest city in the united states per square mile?,Sitka
what is the ultimate objective of financial management?,Profit maximization
what state does rick and morty take place in?,Washington
what was the first form of manga in japan?,scrolls dating back to the 12th century
what breed of dog is the teddy bear dog?,Zuchon
what is the name of the under butler in downton abbey?,Charles Carson
what is the director's cut of a movie?,"an edited version of a film (or television episode, music video, commercial, or video game) that is supposed to represent the director's own approved edit"
what language is the olympic anthem sang in?,Greek
what are the four main types of precipitation?,drizzle
which is the fastest train in india and what is its speed?,12951/52 Mumbai Rajdhani Express
what is the enrollment at university of miami?,"16,801 students"
what is the average height of a chinese man?,167.1 cm (5 ft 6 in)
